LOCATION,YEAR,BRAND,MODEL,VARIANT,KM_DRIVEN,FUEL,NO_OF_OWNERS,PRICE
Pune,2016,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"59,284 km",Diesel,1st Owner,"₹7,64,499"
Pune,2020,Mahindra,Bolero B6 (O),Manual,"15,137 km",Diesel,1st Owner,"₹8,85,188"
Pune,2019,Toyota,Innova Crysta 2.4 GX 8 STR,Manual,"24,382 km",Diesel,1st Owner,"₹16,09,099"
Pune,2019,Maruti,Ertiga ZDI PLUS,Manual,"20,544 km",Diesel,1st Owner,"₹11,88,999"
Pune,2018,Tata,Hexa Varicor 400 XTA,Automatic,"20,797 km",Diesel,2nd Owner,"₹12,28,799"
Pune,2018,Mahindra,Xylo H4 ABS BS IV,Manual,"49,616 km",Diesel,1st Owner,"₹6,20,199"
Pune,2018,Maruti,S Cross ZETA 1.3 SHVS,Manual,"30,406 km",Diesel,1st Owner,"₹8,62,247"
Pune,2016,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,Automatic,"15,915 km",Petrol,1st Owner,"₹9,85,399"
Pune,2015,Maruti,Ertiga VDI,Manual,"83,771 km",Diesel,1st Owner,"₹5,58,699"
Pune,2017,Maruti,Vitara Brezza LDI OPT,Manual,"70,598 km",Diesel,1st Owner,"₹7,02,205"
Pune,2015,Hyundai,Creta 1.6 SX CRDI,,"83,869 km",Diesel,1st Owner,"₹8,03,199"
Pune,2014,Ford,Ecosport 1.5 TREND TDCI,Manual,"95,884 km",Diesel,2nd Owner,"₹4,72,399"
Pune,2014,Ford,Ecosport 1.5 AMBIENTE TDCI,Manual,"1,45,347 km",Diesel,2nd Owner,"₹4,07,999"
Pune,2012,Toyota,Innova 2.5 VX 8 STR BS IV,Manual,"1,23,778 km",Diesel,3rd Owner,"₹6,02,199"
Pune,2014,Mahindra,Scorpio EX,Manual,"2,30,463 km",Diesel,1st Owner,"₹5,24,899"
Pune,2017,Toyota,Innova Crysta 2.4 VX 8 STR,Manual,"1,52,809 km",Diesel,1st Owner,"₹13,90,999"
Pune,2014,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"42,066 km",Petrol,1st Owner,"₹5,53,899"
Pune,2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,,"5,450 km",Petrol,1st Owner,"₹11,38,099"
Pune,2020,Tata,NEXON XZ 1.2,Manual,"10,705 km",Petrol,1st Owner,"₹9,40,499"
Pune,2017,Maruti,Vitara Brezza VDI OPT,Manual,"45,928 km",Diesel,1st Owner,"₹7,62,799"
Pune,2015,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"46,166 km",Petrol,1st Owner,"₹7,96,499"
Pune,2017,Maruti,S Cross ZETA SHVS,Manual,"80,785 km",Diesel,1st Owner,"₹8,98,099"
Pune,2018,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"37,061 km",Diesel,1st Owner,"₹8,42,299"
Pune,2016,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"51,377 km",Diesel,1st Owner,"₹7,86,099"
Pune,2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"29,416 km",Petrol,1st Owner,"₹7,85,499"
Pune,2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"52,753 km",Diesel,1st Owner,"₹11,77,199"
Pune,2019,Tata,Harrier XZ 2.0L Kryotec,Manual,"22,440 km",Diesel,1st Owner,"₹15,66,499"
Pune,2017,Tata,Hexa Varicor 400 XTA,Automatic,"72,842 km",Diesel,1st Owner,"₹11,28,399"
Pune,2018,Toyota,Innova Crysta 2.8 ZX AT 7 STR,Automatic,"52,726 km",Diesel,1st Owner,"₹18,14,099"
Pune,2016,Maruti,Vitara Brezza LDI,Manual,"64,886 km",Diesel,1st Owner,"₹6,09,199"
Pune,2010,Honda,City S MT PETROL,Manual,"41,911 km",Petrol,1st Owner,"₹3,00,999"
Pune,2011,Toyota,Etios VX,Manual,"66,259 km",Petrol,1st Owner,"₹2,69,699"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"53,886 km",Diesel,1st Owner,"₹4,58,199"
Pune,2012,Honda,City 1.5 E MT PETROL,,"57,136 km",Petrol,1st Owner,"₹3,54,899"
Pune,2016,Maruti,Ciaz VXI PLUS,Manual,"37,827 km",Petrol,1st Owner,"₹6,16,499"
Pune,2020,Skoda,Rapid 1.0 AMBITION TSI MT,Manual,"6,981 km",Petrol,1st Owner,"₹9,63,499"
Pune,2016,Maruti,Swift Dzire VDI BS IV,Manual,"37,395 km",Diesel,1st Owner,"₹6,14,599"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"56,311 km",Petrol,2nd Owner,"₹3,53,199"
Pune,2013,Honda,Amaze 1.2 VXMT I VTEC,Manual,"43,089 km",Petrol,2nd Owner,"₹4,37,699"
Pune,2014,Skoda,Rapid ELEGANCE 1.6 MPFI MT,Manual,"67,733 km",Petrol,2nd Owner,"₹4,22,099"
Pune,2017,Maruti,Dzire VDI,Manual,"29,736 km",Diesel,1st Owner,"₹6,97,599"
Pune,2015,Volkswagen,Vento HIGHLINE 1.2 TSI AT,,"73,924 km",Petrol,2nd Owner,"₹4,49,499"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"57,742 km",Petrol,2nd Owner,"₹4,27,299"
Pune,2018,Maruti,Dzire VXI,Manual,"27,831 km",Petrol,1st Owner,"₹6,26,999"
Pune,2013,Hyundai,Verna FLUIDIC 1.6 EX VTVT,Manual,"66,517 km",Petrol,2nd Owner,"₹3,81,099"
Pune,2017,Volkswagen,Ameo HIGHLINE 1.5,Manual,"59,571 km",Diesel,1st Owner,"₹5,53,699"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"74,265 km",Diesel,1st Owner,"₹4,50,599"
Pune,2015,Maruti,Ciaz ZXI,Manual,"72,544 km",Petrol,2nd Owner,"₹5,05,699"
Pune,2018,Maruti,Ciaz ALPHA 1.5 AT VTVT SHVS,Manual,"49,828 km",Petrol,1st Owner,"₹8,59,999"
Pune,2019,Honda,Civic VX CVT i-VTEC,Automatic,"15,611 km",Petrol,1st Owner,"₹16,81,199"
Pune,2011,Toyota,Etios G,Manual,"1,07,845 km",Petrol,1st Owner,"₹2,76,499"
Pune,2015,Honda,Amaze 1.5 SMT I DTEC,Manual,"81,286 km",Diesel,1st Owner,"₹4,25,899"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"87,964 km",Diesel,1st Owner,"₹4,63,699"
Pune,2015,Volkswagen,Vento HIGHLINE PETROL,Manual,"73,613 km",Petrol,1st Owner,"₹4,49,199"
Pune,2013,Honda,City V MT PETROL,Manual,"98,921 km",Petrol,2nd Owner,"₹3,53,199"
Pune,2014,Honda,City VX MT DIESEL,Manual,"94,530 km",Diesel,1st Owner,"₹5,26,399"
Pune,2015,Honda,Amaze 1.5 EMT I DTEC,Manual,"84,226 km",Diesel,1st Owner,"₹4,23,899"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,18,249 km",Diesel,3rd Owner,"₹3,69,699"
Pune,2010,Maruti,Swift Dzire VDI BS IV,Manual,"1,10,215 km",Diesel,1st Owner,"₹2,89,299"
Pune,2015,Honda,Amaze 1.5 SMT I DTEC,Manual,"92,265 km",Diesel,3rd Owner,"₹3,62,099"
Pune,2015,Maruti,Ciaz ZDI SHVS,Manual,"1,23,174 km",Diesel,2nd Owner,"₹6,20,099"
Pune,2013,Volkswagen,Vento HIGHLINE DIESEL,Manual,"1,19,721 km",Diesel,1st Owner,"₹4,05,499"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,36,000 km",Diesel,1st Owner,"₹4,18,999"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"1,46,858 km",Petrol,1st Owner,"₹3,66,799"
Pune,2015,Maruti,Ciaz VDI,Manual,"1,61,403 km",Diesel,1st Owner,"₹5,04,299"
Pune,2011,Toyota,Etios G SP,Manual,"46,042 km",Petrol,1st Owner,"₹2,99,599"
Pune,2013,Toyota,Etios G,Manual,"53,662 km",Petrol,1st Owner,"₹3,87,999"
Pune,2016,Maruti,Ciaz VDI+ SHVS,Manual,"82,646 km",Diesel,1st Owner,"₹5,89,399"
Pune,2013,Honda,Amaze 1.2 EXMT I VTEC,Manual,"14,671 km",Petrol,1st Owner,"₹3,70,299"
Pune,2011,Toyota,Etios VX,Manual,"37,505 km",Petrol,1st Owner,"₹2,60,099"
Pune,2013,Toyota,Etios V,Manual,"35,973 km",Petrol,3rd Owner,"₹3,08,599"
Pune,2011,Toyota,Etios G,Manual,"69,385 km",Petrol,1st Owner,"₹2,84,399"
Pune,2012,Honda,City S MT PETROL,Manual,"45,977 km",Petrol,2nd Owner,"₹3,96,699"
Pune,2012,Honda,City V MT PETROL,Manual,"48,291 km",Petrol,1st Owner,"₹3,37,899"
Pune,2012,Honda,City V MT PETROL,Manual,"44,443 km",Petrol,1st Owner,"₹3,92,599"
Pune,2013,Hyundai,Verna FLUIDIC 1.6 EX VTVT,Manual,"33,807 km",Petrol,1st Owner,"₹4,33,799"
Pune,2015,Maruti,Ciaz VXI,Manual,"34,107 km",Petrol,1st Owner,"₹5,19,099"
Pune,2013,Hyundai,Verna FLUIDIC 1.6 EX VTVT,Manual,"30,328 km",Petrol,1st Owner,"₹4,85,899"
Pune,2013,Volkswagen,Vento HIGHLINE PETROL,Manual,"58,406 km",Petrol,1st Owner,"₹3,93,599"
Pune,2014,Maruti,Swift Dzire VXI AMT,Automatic,"57,109 km",Petrol,2nd Owner,"₹4,13,599"
Pune,2014,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT,Manual,"68,191 km",Petrol,2nd Owner,"₹4,28,999"
Pune,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"47,458 km",Petrol,1st Owner,"₹6,43,299"
Pune,2019,Hyundai,Verna 1.6 SX VTVT,Manual,"11,728 km",Petrol,1st Owner,"₹9,43,899"
Pune,2017,Hyundai,Verna 1.6 SX (O) CRDI MT,Manual,"42,544 km",Diesel,2nd Owner,"₹9,33,099"
Pune,2011,Toyota,Etios G,Manual,"1,25,694 km",Petrol,1st Owner,"₹2,22,099"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"72,771 km",Petrol,2nd Owner,"₹3,96,999"
Pune,2010,Honda,City S MT PETROL,Manual,"1,10,946 km",Petrol,1st Owner,"₹2,82,399"
Pune,2016,Maruti,Ciaz ZDI SHVS HYBIRD,Manual,"82,541 km",Diesel,2nd Owner,"₹5,99,399"
Pune,2010,Maruti,Swift Dzire VDI BS IV,Manual,"1,60,205 km",Diesel,2nd Owner,"₹2,65,399"
Pune,2013,Honda,Amaze 1.5 VXMT I DTEC,Manual,"1,98,155 km",Diesel,1st Owner,"₹2,99,699"
Pune,2008,Honda,Civic 1.8V MT,Manual,"28,800 km",Petrol,1st Owner,"₹1,55,399"
Pune,2016,Maruti,Swift Dzire VDI BS IV,Manual,"43,981 km",Diesel,1st Owner,"₹6,11,399"
Pune,2008,Honda,City ZX 1.5 VTEC PLUS,Manual,"90,637 km",Petrol,2nd Owner,"₹1,77,399"
Pune,2014,Maruti,Swift Dzire ZXI 1.2 BS IV,Manual,"33,644 km",Petrol,1st Owner,"₹4,97,799"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"15,052 km",Petrol,2nd Owner,"₹5,04,399"
Pune,2010,Honda,Civic 1.8V AT,Automatic,"58,455 km",Petrol,2nd Owner,"₹2,67,699"
Pune,2011,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"57,597 km",Petrol,2nd Owner,"₹2,59,499"
Pune,2015,Ford,Figo Aspire 1.2 TREND PETROL,Manual,"34,656 km",Petrol,2nd Owner,"₹3,84,599"
Pune,2013,Honda,Amaze 1.2 SMT I VTEC,Manual,"47,239 km",Petrol,2nd Owner,"₹3,65,599"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"26,583 km",Petrol,1st Owner,"₹5,07,299"
Pune,2015,Hyundai,Verna FLUIDIC 1.6 VTVT S (O)  MT,Manual,"25,274 km",Petrol,1st Owner,"₹5,05,299"
Pune,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"27,398 km",Petrol,1st Owner,"₹4,93,999"
Pune,2016,Honda,City VX MT PETROL,Manual,"28,174 km",Petrol,2nd Owner,"₹6,42,599"
Pune,2012,Honda,City V MT PETROL,Manual,"66,745 km",Petrol,1st Owner,"₹3,85,199"
Pune,2019,Maruti,Dzire VXI,Manual,"8,379 km",Petrol,1st Owner,"₹6,33,699"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"56,002 km",Petrol,1st Owner,"₹4,24,899"
Pune,2016,Volkswagen,Ameo COMFORTLINE 1.2,Manual,"52,907 km",Petrol,1st Owner,"₹3,63,299"
Pune,2016,Maruti,Ciaz VXI PLUS,Manual,"58,113 km",Petrol,1st Owner,"₹5,74,899"
Pune,2014,Maruti,Swift Dzire VDI BS IV,Manual,"87,333 km",Diesel,1st Owner,"₹4,98,499"
Pune,2015,Honda,City SV MT PETROL,Manual,"64,093 km",Petrol,2nd Owner,"₹5,12,399"
Pune,2018,Ford,Figo Aspire 1.5 TREND DIESEL,Manual,"47,965 km",Diesel,1st Owner,"₹5,47,099"
Pune,2017,Maruti,Dzire ZDI Plus AMT,Automatic,"38,118 km",Diesel,2nd Owner,"₹7,50,599"
Pune,2012,Honda,City S MT PETROL,Manual,"83,929 km",Petrol,1st Owner,"₹3,44,299"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"70,649 km",Petrol,1st Owner,"₹4,35,199"
Pune,2018,Maruti,Dzire VDI AMT,Automatic,"35,413 km",Diesel,1st Owner,"₹7,82,799"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,33,833 km",Diesel,1st Owner,"₹4,42,699"
Pune,2017,Maruti,Ciaz ZETA 1.3 DDIS SHVS,Manual,"86,385 km",Diesel,1st Owner,"₹6,60,799"
Pune,2018,Maruti,Ciaz ALPHA 1.4 VVT AMT,Automatic,"15,112 km",Petrol,1st Owner,"₹9,47,046"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"24,122 km",Petrol,2nd Owner,"₹10,85,399"
Pune,2017,Maruti,Dzire VDI,Manual,"60,178 km",Diesel,1st Owner,"₹6,64,399"
Pune,2014,Hyundai,Verna FLUIDIC 1.6 SX VTVT,Manual,"88,958 km",Petrol,1st Owner,"₹4,52,699"
Pune,2019,Maruti,Dzire VDI,Manual,"43,858 km",Diesel,1st Owner,"₹7,69,599"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"93,530 km",Diesel,1st Owner,"₹4,58,899"
Pune,2015,Maruti,Swift Dzire VDI ABS,Manual,"1,11,167 km",Diesel,2nd Owner,"₹5,21,799"
Pune,2015,Maruti,Ciaz ZDI+,Manual,"1,02,534 km",Diesel,1st Owner,"₹5,54,199"
Pune,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,06,738 km",Petrol,1st Owner,"₹3,64,999"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,33,678 km",Diesel,1st Owner,"₹4,15,599"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"84,797 km",Diesel,1st Owner,"₹4,96,699"
Pune,2014,Honda,Amaze 1.5 SX MT I DTEC,Manual,"1,13,188 km",Diesel,1st Owner,"₹3,41,899"
Pune,2011,Volkswagen,Vento TRENDLINE PETROL,Manual,"1,52,770 km",Petrol,3rd Owner,"₹2,22,099"
Pune,2012,Skoda,Rapid ELEGANCE 1.6 TDI MT,Manual,"2,40,126 km",Diesel,2nd Owner,"₹2,50,099"
Pune,2015,Volkswagen,Jetta HIGHLINE 2.0 TDI MT,Manual,"1,23,125 km",Diesel,1st Owner,"₹6,59,099"
Pune,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"1,84,523 km",Diesel,1st Owner,"₹3,78,999"
Pune,2014,Honda,Amaze 1.5 EMT I DTEC,Manual,"85,460 km",Diesel,1st Owner,"₹4,43,599"
Pune,2015,Hyundai,Xcent SX 1.2,Manual,"1,13,465 km",Petrol,1st Owner,"₹3,98,999"
Pune,2016,Maruti,Ciaz ZDI SHVS HYBIRD,Manual,"1,43,429 km",Diesel,2nd Owner,"₹6,21,999"
Pune,2016,Maruti,Ciaz VDI+ SHVS,Manual,"1,41,441 km",Diesel,1st Owner,"₹5,20,799"
Pune,2018,Tata,TIGOR Revotron XT,Manual,"16,715 km",Petrol,1st Owner,"₹5,78,999"
Pune,2016,Volkswagen,Ameo HIGHLINE 1.2,Manual,"29,098 km",Petrol,1st Owner,"₹4,84,099"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"28,849 km",Petrol,1st Owner,"₹11,51,199"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"19,856 km",Petrol,1st Owner,"₹4,54,599"
Pune,2011,Toyota,Etios V,Manual,"37,595 km",Petrol,1st Owner,"₹2,93,599"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"53,074 km",Diesel,1st Owner,"₹4,28,999"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"48,342 km",Petrol,1st Owner,"₹3,76,899"
Pune,2014,Hyundai,Xcent SX 1.2,Manual,"23,325 km",Petrol,2nd Owner,"₹4,44,299"
Pune,2015,Ford,Figo Aspire 1.5 TREND DIESEL,Manual,"59,038 km",Diesel,1st Owner,"₹4,38,099"
Pune,2011,Honda,City S MT PETROL,Manual,"73,611 km",Petrol,2nd Owner,"₹2,84,499"
Pune,2017,Maruti,Dzire ZDI,Manual,"16,137 km",Diesel,1st Owner,"₹7,50,199"
Pune,2010,Maruti,Swift Dzire VDI BS IV,Manual,"80,822 km",Diesel,2nd Owner,"₹3,24,699"
Pune,2014,Skoda,Rapid AMBITION 1.6 MPI MT PLUS,Manual,"55,444 km",Petrol,1st Owner,"₹4,27,099"
Pune,2017,Volkswagen,Ameo COMFORTLINE 1.5,Manual,"63,295 km",Diesel,1st Owner,"₹4,51,199"
Pune,2010,Maruti,Swift Dzire VXI,Manual,"91,192 km",Petrol,3rd Owner,"₹2,53,499"
Pune,2012,Volkswagen,Vento COMFORTLINE DIESEL,Manual,"71,567 km",Diesel,2nd Owner,"₹2,55,499"
Pune,2010,Volkswagen,Vento TRENDLINE DIESEL,Manual,"62,983 km",Diesel,1st Owner,"₹2,90,999"
Pune,2019,Maruti,Dzire VXI AMT,Automatic,"19,015 km",Petrol,1st Owner,"₹6,92,999"
Pune,2017,Maruti,Ciaz ZDI+ SHVS,Manual,"28,786 km",Diesel,1st Owner,"₹7,36,999"
Pune,2014,Hyundai,Xcent S 1.2 OPT,Manual,"64,497 km",Petrol,1st Owner,"₹3,73,299"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"54,503 km",Petrol,1st Owner,"₹5,02,999"
Pune,2012,Honda,City V MT PETROL,Manual,"82,525 km",Petrol,2nd Owner,"₹3,58,599"
Pune,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"78,982 km",Petrol,1st Owner,"₹3,35,199"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"19,407 km",Petrol,1st Owner,"₹11,36,899"
Pune,2015,Maruti,Swift Dzire ZDI,Manual,"88,531 km",Diesel,1st Owner,"₹5,41,399"
Pune,2018,Maruti,Dzire VDI,Manual,"67,535 km",Diesel,1st Owner,"₹6,94,799"
Pune,2011,Honda,City S MT PETROL,Manual,"1,01,973 km",Petrol,2nd Owner,"₹3,06,899"
Pune,2008,Hyundai,Verna VGT CRDI SX,Manual,"2,57,126 km",Diesel,2nd Owner,"₹1,40,199"
Pune,2016,Maruti,Ciaz ZDI+ SHVS,Manual,"98,340 km",Diesel,1st Owner,"₹5,92,399"
Pune,2015,Volkswagen,Vento HIGHLINE TDI AT,Automatic,"1,03,483 km",Diesel,1st Owner,"₹5,47,499"
Pune,2012,Maruti,Swift Dzire ZDI,Manual,"1,10,866 km",Diesel,1st Owner,"₹4,62,899"
Pune,2015,Ford,Figo Aspire 1.2 TREND PETROL,Manual,"1,19,770 km",Petrol + CNG,1st Owner,"₹3,83,099"
Pune,2015,Volkswagen,Jetta HIGHLINE TDI AT,Automatic,"96,631 km",Diesel,1st Owner,"₹9,94,799"
Pune,2013,Volkswagen,Vento COMFORTLINE DIESEL,Manual,"1,20,100 km",Diesel,1st Owner,"₹3,77,899"
Pune,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,69,893 km",Petrol,1st Owner,"₹3,48,399"
Pune,2014,Honda,City V MT DIESEL,Manual,"1,01,866 km",Diesel,2nd Owner,"₹5,14,399"
Pune,2014,Skoda,Rapid 1.5 TDI MT Ambition Plus,Manual,"1,53,143 km",Diesel,1st Owner,"₹3,66,999"
Pune,2011,Hyundai,Accent EXECUTIVE GLE,Manual,"58,344 km",Petrol,1st Owner,"₹1,42,099"
Pune,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"41,941 km",Petrol,1st Owner,"₹3,97,399"
Pune,2012,Volkswagen,Vento HIGHLINE PETROL,Manual,"56,526 km",Petrol,2nd Owner,"₹3,52,599"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"43,595 km",Diesel,1st Owner,"₹4,60,999"
Pune,2013,Honda,Amaze 1.5 EXMT I DTEC,Manual,"57,650 km",Diesel,2nd Owner,"₹3,33,999"
Pune,2011,Toyota,Etios V,Manual,"66,145 km",Petrol,1st Owner,"₹2,79,399"
Pune,2016,Volkswagen,Ameo HIGHLINE 1.2,Manual,"24,023 km",Petrol,2nd Owner,"₹4,68,999"
Pune,2016,Volkswagen,Ameo HIGHLINE 1.2,Manual,"39,132 km",Petrol,2nd Owner,"₹5,03,699"
Pune,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"53,692 km",Petrol,1st Owner,"₹4,27,699"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"46,039 km",Petrol,1st Owner,"₹5,12,299"
Pune,2014,Honda,Amaze 1.2 EXMT I VTEC,Manual,"75,156 km",Petrol,1st Owner,"₹3,62,199"
Pune,2018,Maruti,Dzire VDI,Manual,"20,805 km",Diesel,1st Owner,"₹7,70,199"
Pune,2016,Maruti,Swift Dzire ZDI AMT,Automatic,"45,207 km",Diesel,1st Owner,"₹6,17,099"
Pune,2011,Toyota,Etios V,Manual,"90,883 km",Petrol,1st Owner,"₹2,43,699"
Pune,2017,Maruti,Dzire VDI,Manual,"15,738 km",Diesel,1st Owner,"₹7,12,599"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"66,419 km",Petrol,1st Owner,"₹4,86,999"
Pune,2018,Toyota,YARIS J CVT,Automatic,"26,989 km",Petrol,1st Owner,"₹8,08,099"
Pune,2014,Skoda,Rapid 1.6 TDI MT AMBITION PLUS,Manual,"93,514 km",Diesel,2nd Owner,"₹3,90,699"
Pune,2015,Volkswagen,Vento HIGHLINE 1.2 TSI AT,Manual,"87,177 km",Petrol,2nd Owner,"₹4,89,999"
Pune,2015,Maruti,Ciaz VDI PLUS,Manual,"83,414 km",Diesel,2nd Owner,"₹4,91,199"
Pune,2017,Maruti,Dzire ZDI Plus,Manual,"48,556 km",Diesel,1st Owner,"₹6,73,799"
Pune,2013,Honda,Amaze 1.2 SMT I VTEC,Manual,"91,004 km",Petrol,1st Owner,"₹3,47,399"
Pune,2014,Honda,Amaze 1.5 SMT I DTEC,Manual,"80,958 km",Diesel,1st Owner,"₹4,57,399"
Pune,2017,Hyundai,Xcent E PLUS,Manual,"45,726 km",Petrol,1st Owner,"₹5,41,699"
Pune,2015,Honda,City VX MT PETROL,Manual,"96,336 km",Petrol,1st Owner,"₹5,74,999"
Pune,2015,Honda,City V MT PETROL,Manual,"1,22,135 km",Petrol,1st Owner,"₹5,22,999"
Pune,2015,Maruti,Ciaz ZXI AT,Automatic,"92,368 km",Petrol,1st Owner,"₹5,82,599"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"1,16,242 km",Petrol,1st Owner,"₹3,82,999"
Pune,2014,Maruti,Swift Dzire VDI BS IV,Manual,"1,07,789 km",Diesel,1st Owner,"₹4,87,699"
Pune,2016,Volkswagen,Vento HIGHLINE 1.2 TSI AT,,"1,17,793 km",Petrol,1st Owner,"₹5,80,499"
Pune,2013,Maruti,Swift Dzire VDI,Manual,"1,61,540 km",Diesel,1st Owner,"₹4,13,699"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"1,99,106 km",Diesel,2nd Owner,"₹3,88,299"
Pune,2013,Honda,Amaze 1.2 SMT I VTEC,Manual,"1,23,763 km",Petrol,1st Owner,"₹4,21,299"
Pune,2016,Skoda,Rapid Style 1.5 TDI AT,Automatic,"55,629 km",Diesel,1st Owner,"₹6,32,499"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"53,675 km",Diesel,1st Owner,"₹4,57,299"
Pune,2011,Volkswagen,Vento HIGHLINE PETROL,Manual,"21,091 km",Petrol,1st Owner,"₹3,38,099"
Pune,2014,Honda,City SV MT PETROL,Manual,"14,587 km",Petrol,1st Owner,"₹5,10,799"
Pune,2016,Volkswagen,Ameo HIGHLINE 1.2,Manual,"30,483 km",Petrol,1st Owner,"₹5,08,899"
Pune,2014,Hyundai,Xcent SX 1.2 OPT,Manual,"45,782 km",Petrol,1st Owner,"₹4,30,899"
Pune,2015,Tata,Zest XM RT 90 PS ABS,Manual,"42,585 km",Petrol,1st Owner,"₹3,40,199"
Pune,2014,Hyundai,Verna FLUIDIC 1.6 VTVT SX AT,Automatic,"33,135 km",Petrol,1st Owner,"₹5,29,499"
Pune,2016,Honda,Amaze 1.2 SMT I VTEC,Manual,"46,247 km",Petrol,1st Owner,"₹4,11,799"
Pune,2016,Volkswagen,Vento HIGHLINE 1.2 TSI AT,Manual,"39,463 km",Petrol,1st Owner,"₹6,50,299"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"40,712 km",Petrol,2nd Owner,"₹4,73,599"
Pune,2017,Volkswagen,Ameo COMFORTLINE 1.5,Manual,"63,295 km",Diesel,1st Owner,"₹4,51,199"
Pune,2010,Maruti,Swift Dzire VXI,Manual,"91,192 km",Petrol,3rd Owner,"₹2,53,499"
Pune,2012,Volkswagen,Vento COMFORTLINE DIESEL,Manual,"71,567 km",Diesel,2nd Owner,"₹2,55,499"
Pune,2010,Volkswagen,Vento TRENDLINE DIESEL,Manual,"62,983 km",Diesel,1st Owner,"₹2,90,999"
Pune,2019,Maruti,Dzire VXI AMT,Automatic,"19,015 km",Petrol,1st Owner,"₹6,92,999"
Pune,2017,Maruti,Ciaz ZDI+ SHVS,Manual,"28,786 km",Diesel,1st Owner,"₹7,36,999"
Pune,2014,Hyundai,Xcent S 1.2 OPT,Manual,"64,497 km",Petrol,1st Owner,"₹3,73,299"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"54,503 km",Petrol,1st Owner,"₹5,02,999"
Pune,2012,Honda,City V MT PETROL,Manual,"82,525 km",Petrol,2nd Owner,"₹3,58,599"
Pune,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"78,982 km",Petrol,1st Owner,"₹3,35,199"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"19,407 km",Petrol,1st Owner,"₹11,36,899"
Pune,2015,Maruti,Swift Dzire ZDI,Manual,"88,531 km",Diesel,1st Owner,"₹5,41,399"
